ID_STA,ARROND,NBR_PLA,X,Y,LONG,LAT,JURIDICTIO,EMPLACEMEN,LOCATION,HEURES,HOURS,BOROUGH,NBR_PLA_I,Note_FR,Note_EN
1,LaSalle,150,292122,5032096,-73.6620232455977,45.4286922810093,Municipale,"55, av. Dupras","55, av. Dupras",23h à 7h,11 p.m to 7 a.m,LaSalle,150,,
3,Le Plateau-Mont-Royal,90,299335,5043042,-73.5699648629258,45.5272830169117,Municipale,"3815, av. Calixa-Lavallée","3815, av. Calixa-Lavallée",22h à 7h,11 p.m to 7 a.m,Le Plateau-Mont-Royal,90,,
4,Le Plateau-Mont-Royal,70,299138,5043731,-73.5724947009445,45.5334813281651,Municipale,"4375, rue Cartier","4375, rue Cartier",22h à 7h,10 p.m to 7 a.m,Le Plateau-Mont-Royal,70,,
5,Mercier - Hochelaga-Maisonneuve,485,300900,5047005,-73.5499612437333,45.5629540326722,Municipale,"3000, rue Viau","3000, rue Viau",20h à 8h,8 p.m to 8 a.m,Mercier - Hochelaga-Maisonneuve,485,,
6,Outremont,21,295683,5042540,-73.6167085273772,45.5227276292139,Municipale,"Opposé du 940, av. Outremont","In face of 940, av. Outremont",21h à 7h,9 p.m to 7 a.m,Outremont,21,,
8,Outremont,9,296066,5042595,-73.6118067281555,45.5232274440331,Municipale,"Nord du 779, av. de l'Épée","North of 779, av. de l'Épée",21h à 7h,9 p.m to 7 a.m,Outremont,9,,
9,Outremont,9,295917,5042528,-73.6137128781115,45.52262266972,Municipale,"Sud du 832, av. Bloomfield","South of 832, av. Bloomfield",21h à 7h,9 p.m to 7 a.m,Outremont,9,,
10,Outremont,13,296348,5042412,-73.6081936597236,45.5215841260707,Municipale,Sud de l'avenue de l'Épée,South of avenue de l'Épée,21h à 7h,9 p.m to 7 a.m,Outremont,13,,
11,Outremont,15,296314,5042381,-73.6086283480299,45.5213048530752,Municipale,"Nord du 620, av. de l'Épée","North of 620, av. de l'Épée",21h à 7h,9 p.m to 7 a.m,Outremont,15,,
12,Outremont,10,296282,5042298,-73.6090365266561,45.5205575068234,Municipale,"Sud du 628, av. Bloomfield","South of 628, av. Bloomfield",21h à 7h,9 p.m to 7 a.m,Outremont,10,,
14,Outremont,18,296183,5042104,-73.6103003652461,45.5188106030637,Municipale,"Ouest du 1335, av. Bernard","West of 1335, av. Bernard",21h à 7h,9 p.m to 7 a.m,Outremont,18,,
15,Outremont,19,297242,5041976,-73.5967429491064,45.5176711832772,Municipale,"Ouest du 451, av. Edouard-Charles","West of 451, av. Edouard-Charles",21h à 7h,9 p.m to 7 a.m,Outremont,19,,
17,Outremont,10,297156,5042025,-73.59784462844,45.5181111668974,Municipale,"Sud du 5126, av. Durocher","South of 5126, av. Durocher",21h à 7h,9 p.m to 7 a.m,Outremont,10,,
20,Saint-Léonard,40,298223,5050186,-73.5842967986351,45.5915574897285,Municipale,Côté sud à l'ouest du Boul. Langelier,"South side, West of Boul. Langelier",23h à 7h,11 p.m to 7 a.m,Saint-Léonard,40,,
21,Saint-Léonard,84,297474,5049140,-73.5938806408491,45.5821377062239,Municipale,Côté nord à l'ouest de la rue Du Cap,"North side, West of rue Du Cap",23h à 7h,11 p.m to 7 a.m,Saint-Léonard,84,,
23,Saint-Léonard,32,298232,5048973,-73.5841651361205,45.5806426500818,Municipale,Rue De Lisieux,Rue De Lisieux,23h à 7h,11 p.m to 7 a.m,Saint-Léonard,32,,
24,Saint-Léonard,50,298268,5049102,-73.5837054232204,45.5818037694217,Municipale,Boul. Lacordaire et rue Jean-Talon,Boul. Lacordaire and rue Jean-Talon,23h à 7h,11 p.m to 7 a.m,Saint-Léonard,50,,
27,Saint-Léonard,100,297318,5049642,-73.5958873916155,45.5866532769308,Municipale,Boul. Lacordaire entre Des Galets et Robert,Boul. Lacordaire between Des Galets and Robert,23h à 7h,11 p.m to 7 a.m,Saint-Léonard,100,,
30,Saint-Léonard,49,297553,5049463,-73.592873216381,45.5850450715464,Municipale,Par boul. Lacordaire ou par la rue Collerette,By boul. Lacordaire or rue Collerette,23h à 7h,11 p.m to 7 a.m,Saint-Léonard,49,,
31,Saint-Léonard,31,296640,5050128,-73.6045845616163,45.5910188170673,Municipale,Entre les boul. Lacordaire et Viau,Between boul. Lacordaire and Viau,23h à 7h,11 p.m to 7 a.m,Saint-Léonard,21,,
33,Saint-Léonard,16,296083,5049304,-73.6117086483354,45.5835974759515,Municipale,Côté est au sud du boul. Lavoisier,"East side, North of boul. Lavoisier",23h à 7h,11 p.m to 7 a.m,Saint-Léonard,12,,
